URL Complete,URL,PMID,Title,Authors,drugbank url prefix,drugbank URI,drugbank_id,drugbank_name,,mondo_id,mondo_URL,mondo_name,conditionName,hasPhenotype,context,targetGroup,nanopub,correction,comments,Discard,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
https://pubmed.ncbi.nlm.nih.gov/33344902,https://pubmed.ncbi.nlm.nih.gov/,33344902,Low-Dose Tramadol as an Off-Label Antidepressant: A Data Mining Analysis from the Patients' Perspective,Bumpus JA.,https://go.drugbank.com/drugs/,https://go.drugbank.com/drugs/DB00193,DB00193,Tramadol,http://purl.obolibrary.org/obo/,MONDO_0002009,http://purl.obolibrary.org/obo/MONDO_0002009,Major depressive disorder,Depression,,Tramadol was reported to be an effective or very effective antidepressant by 94.6% of patients (123/130) who provided ratings submitted to User Reviews for Tramadol to Treat Depression. Tramadol addiction has been reported in individuals who have consumed high doses for prolonged periods. ,Adults,3,1,Needs correction because I think the context is too positive about tramadol and that might be seen as unethical. I added a sentence about being an addictive drug to make it less optimistic about prescribing this drug off-label. So this case is not exactly a mistake but making a more politically correct context.,0,ACS Pharmacol Transl Sci. 2020 Oct 29;3(6):1293-1303. doi: 10.1021/acsptsci.0c00132. eCollection 2020 Dec 11.,Bumpus JA,ACS Pharmacol Transl Sci,2020,12/21/2020,PMC7737323,,10.1021/acsptsci.0c00132
https://pubmed.ncbi.nlm.nih.gov/29262060,https://pubmed.ncbi.nlm.nih.gov/,29262060,Trazodone,"Shin JJ, Saadabadi A.",https://go.drugbank.com/drugs/,https://go.drugbank.com/drugs/DB00656,DB00656,Trazodone,http://purl.obolibrary.org/obo/,MONDO_0011918,http://purl.obolibrary.org/obo/MONDO_0011918,anxiety,anxiety,,"Trazodone is also used off-label for anxiety, Alzheimer disease, substance abuse, bulimia, and fibromyalgia due to its serotonergic receptor antagonism and serotonin reuptake inhibiting effects. ",Adults,2,0,,0,2020 May 28. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan–.,Shin JJSaadabadi A,StatPearls,2020,5/28/2020,,,
https://pubmed.ncbi.nlm.nih.gov/29262060,https://pubmed.ncbi.nlm.nih.gov/,29262060,Trazodone,"Shin JJ, Saadabadi A.",https://go.drugbank.com/drugs/,https://go.drugbank.com/drugs/DB00656,DB00656,Trazodone,http://purl.obolibrary.org/obo/,MONDO_0004975,http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,Alzheimer disease,,"Trazodone is also used off-label for anxiety, Alzheimer disease, substance abuse, bulimia, and fibromyalgia due to its serotonergic receptor antagonism and serotonin reuptake inhibiting effects. ",Adults,0,0,,0,2020 May 28. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan–.,Shin JJSaadabadi A,StatPearls,2020,5/28/2020,,,
https://pubmed.ncbi.nlm.nih.gov/29262060,https://pubmed.ncbi.nlm.nih.gov/,29262060,Trazodone,"Shin JJ, Saadabadi A.",https://go.drugbank.com/drugs/,https://go.drugbank.com/drugs/DB00656,DB00656,Trazodone,http://purl.obolibrary.org/obo/,MONDO_0002491,http://purl.obolibrary.org/obo/MONDO_0002491,substance abuse,substance abuse,,"Trazodone is also used off-label for anxiety, Alzheimer disease, substance abuse, bulimia, and fibromyalgia due to its serotonergic receptor antagonism and serotonin reuptake inhibiting effects. ",Adults,0,0,,0,2020 May 28. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan–.,Shin JJSaadabadi A,StatPearls,2020,5/28/2020,,,
https://pubmed.ncbi.nlm.nih.gov/29262060,https://pubmed.ncbi.nlm.nih.gov/,29262060,Trazodone,"Shin JJ, Saadabadi A.",https://go.drugbank.com/drugs/,https://go.drugbank.com/drugs/DB00656,DB00656,Trazodone,http://purl.obolibrary.org/obo/,MONDO_0005452,http://purl.obolibrary.org/obo/MONDO_0005452,bulimia nervosa,bulimia,,"Trazodone is also used off-label for anxiety, Alzheimer disease, substance abuse, bulimia, and fibromyalgia due to its serotonergic receptor antagonism and serotonin reuptake inhibiting effects. ",Adults,0,0,,0,2020 May 28. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan–.,Shin JJSaadabadi A,StatPearls,2020,5/28/2020,,,
https://pubmed.ncbi.nlm.nih.gov/29262060,https://pubmed.ncbi.nlm.nih.gov/,29262060,Trazodone,"Shin JJ, Saadabadi A.",https://go.drugbank.com/drugs/,https://go.drugbank.com/drugs/DB00656,DB00656,Trazodone,http://purl.obolibrary.org/obo/,MONDO_0005546,http://purl.obolibrary.org/obo/MONDO_0005546,fibromyalgia,fibromyalgia,,"Trazodone is also used off-label for anxiety, Alzheimer disease, substance abuse, bulimia, and fibromyalgia due to its serotonergic receptor antagonism and serotonin reuptake inhibiting effects. ",Adults,0,0,,0,2020 May 28. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan–.,Shin JJSaadabadi A,StatPearls,2020,5/28/2020,,,
https://pubmed.ncbi.nlm.nih.gov/30422485,https://pubmed.ncbi.nlm.nih.gov/,30422485,Lorazepam,"Ghiasi N, Bhansali RK, Marwaha R.",https://go.drugbank.com/drugs/,https://go.drugbank.com/drugs/DB00186,DB00186,Lorazepam,http://purl.obolibrary.org/obo/,HP_0000713,http://purl.obolibrary.org/obo/HP_0000713,Agitation,rapid tranquilization of the agitated patient,,"Off-label (non-FDA-approved) uses for Lorazepam include rapid tranquilization of the agitated patient, alcohol withdrawal delirium, alcohol withdrawal syndrome, insomnia, panic disorder, delirium, chemotherapy-associated anticipatory nausea and vomiting (adjunct or breakthrough), as well as psychogenic catatonia. ",Adults,2,0,nanopub: drug CHEBI 52993,0,2020 Nov 29. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan–.,Ghiasi NBhansali RKMarwaha R,StatPearls,2020,11/29/2020,,,
https://pubmed.ncbi.nlm.nih.gov/30422485,https://pubmed.ncbi.nlm.nih.gov/,30422485,Lorazepam,"Ghiasi N, Bhansali RK, Marwaha R.",https://go.drugbank.com/drugs/,https://go.drugbank.com/drugs/DB00186,DB00186,Lorazepam,http://purl.obolibrary.org/obo/,MONDO_0005433,http://purl.obolibrary.org/obo/MONDO_0005433,alcohol withdrawal delirium,alcohol withdrawal delirium,http://purl.obolibrary.org/obo/MONDO_0045057,"Off-label (non-FDA-approved) uses for Lorazepam include rapid tranquilization of the agitated patient, alcohol withdrawal delirium, alcohol withdrawal syndrome, insomnia, panic disorder, delirium, chemotherapy-associated anticipatory nausea and vomiting (adjunct or breakthrough), as well as psychogenic catatonia.",Adults,2,0,,0,2020 Nov 29. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan–.,Ghiasi NBhansali RKMarwaha R,StatPearls,2020,11/29/2020,,,
https://pubmed.ncbi.nlm.nih.gov/30422485,https://pubmed.ncbi.nlm.nih.gov/,30422485,Lorazepam,"Ghiasi N, Bhansali RK, Marwaha R.",https://go.drugbank.com/drugs/,https://go.drugbank.com/drugs/DB00186,DB00186,Lorazepam,http://purl.obolibrary.org/obo/,MONDO_0005567,http://purl.obolibrary.org/obo/MONDO_0005567,substance withdrawal syndrome,alcohol withdrawal syndrome ,,"Off-label (non-FDA-approved) uses for Lorazepam include rapid tranquilization of the agitated patient, alcohol withdrawal delirium, alcohol withdrawal syndrome, insomnia, panic disorder, delirium, chemotherapy-associated anticipatory nausea and vomiting (adjunct or breakthrough), as well as psychogenic catatonia.",Adults,2,0,,0,2020 Nov 29. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan–.,Ghiasi NBhansali RKMarwaha R,StatPearls,2020,11/29/2020,,,
https://pubmed.ncbi.nlm.nih.gov/30422485,https://pubmed.ncbi.nlm.nih.gov/,30422485,Lorazepam,"Ghiasi N, Bhansali RK, Marwaha R.",https://go.drugbank.com/drugs/,https://go.drugbank.com/drugs/DB00186,DB00186,Lorazepam,http://purl.obolibrary.org/obo/,MONDO_0013600,http://purl.obolibrary.org/obo/MONDO_0013600,insomnia (disease),insomnia,,"Off-label (non-FDA-approved) uses for Lorazepam include rapid tranquilization of the agitated patient, alcohol withdrawal delirium, alcohol withdrawal syndrome, insomnia, panic disorder, delirium, chemotherapy-associated anticipatory nausea and vomiting (adjunct or breakthrough), as well as psychogenic catatonia.",Adults,2,0,,0,2020 Nov 29. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan–.,Ghiasi NBhansali RKMarwaha R,StatPearls,2020,11/29/2020,,,
